,日期,收益率
139,2021-05-27,26.45%
140,2021-05-28,26.56%
141,2021-05-31,27.14%
142,2021-06-01,27.42%
143,2021-06-02,28.32%
144,2021-06-03,28.08%
145,2021-06-04,26.81%
146,2021-06-07,24.82%
147,2021-06-08,25.24%
148,2021-06-09,25.86%
149,2021-06-10,25.55%
150,2021-06-11,24.89%
151,2021-06-15,23.33%
152,2021-06-16,22.12%
153,2021-06-17,23.42%
154,2021-06-18,24.56%
155,2021-06-21,28.28%
156,2021-06-22,35.25%
157,2021-06-23,35.95%
158,2021-06-24,31.28%
159,2021-06-25,32.9%
160,2021-06-28,41.81%
161,2021-06-29,41.59%
162,2021-06-30,49.5%
163,2021-07-01,41.73%
164,2021-07-02,42.73%
165,2021-07-05,41.23%
166,2021-07-06,38.87%
167,2021-07-07,36.97%
168,2021-07-08,35.06%
169,2021-07-09,32.2%
170,2021-07-12,34.13%
171,2021-07-13,36.04%
172,2021-07-14,36.9%
173,2021-07-15,26.41%
174,2021-07-16,20.86%
175,2021-07-19,24.24%
176,2021-07-20,24.97%
177,2021-07-21,33.9%
178,2021-07-22,36.17%
179,2021-07-23,32.71%
180,2021-07-26,32.49%
181,2021-07-27,29.4%
182,2021-07-28,26.28%
183,2021-07-29,32.78%
184,2021-07-30,35.0%
185,2021-08-02,33.98%
186,2021-08-03,30.75%
187,2021-08-04,31.47%
188,2021-08-05,28.73%
189,2021-08-06,27.95%
190,2021-08-09,29.06%
191,2021-08-10,30.12%
192,2021-08-11,30.58%
193,2021-08-12,30.77%
194,2021-08-13,29.41%
195,2021-08-16,30.07%
196,2021-08-17,26.56%
197,2021-08-18,25.75%
198,2021-08-19,25.64%
199,2021-08-20,23.66%
200,2021-08-23,26.82%
201,2021-08-24,27.53%
202,2021-08-25,25.12%
203,2021-08-26,28.23%
204,2021-08-27,24.51%
205,2021-08-30,26.87%
206,2021-08-31,36.15%
207,2021-09-01,36.11%
208,2021-09-02,39.88%
209,2021-09-03,35.59%
210,2021-09-06,38.49%
211,2021-09-07,39.31%
212,2021-09-08,38.11%
213,2021-09-09,39.6%
214,2021-09-10,36.95%
215,2021-09-13,39.43%
216,2021-09-14,37.8%
217,2021-09-15,41.92%
218,2021-09-16,39.33%
219,2021-09-17,36.49%
220,2021-09-22,40.66%
221,2021-09-23,42.39%
222,2021-09-24,39.77%
223,2021-09-27,33.2%
224,2021-09-28,35.92%
225,2021-09-29,27.87%
226,2021-09-30,26.54%
227,2021-10-08,27.4%
228,2021-10-11,21.19%
229,2021-10-12,16.81%
230,2021-10-13,18.41%
231,2021-10-14,28.17%
232,2021-10-15,21.78%
233,2021-10-18,28.5%
234,2021-10-19,26.27%
235,2021-10-20,26.25%
236,2021-10-21,24.51%
237,2021-10-22,26.42%
238,2021-10-25,26.29%
239,2021-10-26,24.8%
240,2021-10-27,22.95%
241,2021-10-28,18.75%
242,2021-10-29,21.76%
243,2021-11-01,27.66%
244,2021-11-02,28.08%
245,2021-11-03,23.06%
246,2021-11-04,30.4%
247,2021-11-05,26.38%
248,2021-11-08,23.75%
249,2021-11-09,25.01%
250,2021-11-10,25.01%
251,2021-11-11,26.26%
252,2021-11-12,29.26%
253,2021-11-15,32.54%
254,2021-11-16,30.07%
255,2021-11-17,35.11%
256,2021-11-18,27.84%
257,2021-11-19,27.36%
258,2021-11-22,29.01%
259,2021-11-23,29.01%
260,2021-11-24,29.03%
261,2021-11-25,36.07%
